,BRUKSAREAL_TOTALT,ANTALL,GJENNOMSNITTLIG BRA,FYLKE,kWh per m2,Varmepumpeeffekt,Romoppvarmingsenergibehov,Tappevannsenergibehov,Termisk energibehov,Kompressorenergi til varmepumpe,Levert energi fra brønner,Energi til spisslast,Romoppvarmingseffektbehov,Tappevannseffektbehov,Termisk effektbehov,Kompressoreffekt til varmepumpe,Levert effekt fra brønner,Effekt til spisslast,Antall brønner,Brønnmeter
0,11419001,36707,189.7569004769264,Agder,80,373642.5686348736,932189065.4889961,138782886.78644484,1070971952.2754408,305991986.36441165,764979965.9110292,0.0,348126.9556396143,28214.5894516936,373642.5686348736,106755.01960996387,266887.54902490973,0.0,31874.0,9562249.0
1,15345697,48155,194.3871225172274,Akershus,90,502128.4825679998,1252744521.671142,186506694.36057374,1439251216.0317156,411214633.15191877,1028036582.879797,0.0,467838.7171327826,37916.8493553058,502128.4825679998,143465.28073371423,358663.2018342856,0.0,38075.0,11422628.0
2,7009016,22735,188.05044000858553,Buskerud,80,229342.8945179116,572180357.5494407,85185339.24398297,657365696.7934238,187818770.51240677,469546926.281017,0.0,213681.3371072782,17318.1970034289,229342.8945179116,65526.54129083187,163816.35322707973,0.0,19564.0,5869336.0
3,2491738,9343,162.66731949340644,Finnmark,60,81532.4726466985,203412795.7133396,30283786.887791876,233696582.60113144,66770452.17175185,166926130.4293796,0.0,75964.7156692202,6156.7001081079,81532.4726466985,23294.992184771,58237.4804619275,0.0,9273.0,2782102.0
4,16549658,54732,184.44868208414601,Innlandet,80,541523.4419498417,1351029763.9156427,201139251.37307388,1552169015.2887168,443476861.51106185,1108692153.7776546,0.0,504543.4409206889,40891.6512080117,541523.4419498417,154720.98341424047,386802.4585356012,0.0,46195.0,13858651.0
5,8385718,25486,200.70649338215935,Møre og Romsdal,80,274390.1338976759,684567294.9738995,101917335.1344004,786484630.1083,224709894.31665707,561774735.7916428,0.0,255652.3533181506,20719.8152121781,274390.1338976759,78397.18111362169,195992.9527840542,0.0,23407.0,7022184.0
6,9422097,32677,175.88383423557963,Nordland,70,308301.6215697797,769171996.5149906,114513154.10532868,883685150.6203192,252481471.60580552,631203679.0145137,0.0,287248.0652511671,23280.5478017765,308301.6215697797,88086.17759136565,220215.44397841406,0.0,30057.0,9017195.0
7,5253227,14094,227.35337141867913,Oslo,90,171891.50170860568,428846688.77177274,63846041.173347466,492692729.9451202,140769351.4128915,351923378.53222877,0.0,160153.2325633235,12979.9133130431,171891.50170860568,49111.8576310302,122779.64407757547,0.0,13034.0,3910259.0
8,15918849,46707,207.899294762962,Rogaland,90,520882.66128277656,1299533730.9253623,193472600.49609518,1493006331.4214575,426573237.54898787,1066433093.8724695,0.0,485312.1949684318,39333.0195065666,520882.66128277656,148823.61750936473,372059.04377341183,0.0,39497.0,11849256.0
9,13246583,42405,190.54896573549297,Trøndelag,80,433443.1092312759,1081383549.0243344,160994734.02237597,1242378283.0467103,354965223.7276315,887413059.3190787,0.0,403843.7874221631,32730.2625669955,433443.1092312759,123840.88835179311,309602.2208794828,0.0,36975.0,11092663.0
10,9341903,31318,181.95794783895911,Vestfold,90,305677.58360454044,762625366.9177234,113538501.87235726,876163868.7900807,250332533.94002303,625831334.8500576,0.0,284803.219762445,23082.4008021845,305677.58360454044,87336.45245844012,218341.13114610032,0.0,23178.0,6953681.0
11,9341903,31318,181.95794783895911,Østfold,90,305677.58360454044,762625366.9177234,113538501.87235726,876163868.7900807,250332533.94002303,625831334.8500576,0.0,284803.219762445,23082.4008021845,305677.58360454044,87336.45245844012,218341.13114610032,0.0,23178.0,6953681.0
12,7554412,24969,184.55554198324091,Telemark,80,247188.8656640027,616703708.3715869,91813907.8308305,708517616.2024174,202433604.6292621,506084011.5731553,0.0,230308.6278044261,18665.7863616045,247188.8656640027,70625.39018971505,176563.47547428764,0.0,21086.0,6326050.0
13,5280841,18674,172.4975828052525,Troms,60,172795.0628774228,431100955.0472914,64181652.8994275,495282607.94671893,141509316.5562054,353773291.39051354,0.0,160995.0905991563,13048.1432460398,172795.0628774228,49370.017964977946,123425.04491244486,0.0,19654.0,5896221.0
14,18647586,58976,192.87347310282055,Vestland,80,610170.0080313248,1522293917.5647402,226636797.44650993,1748930715.0112503,499694490.00321436,1249236225.008036,0.0,568502.2134780347,46075.3075733289,610170.0080313248,174334.28800894995,435835.7200223749,0.0,52051.0,15615452.0
